"","ID","txt","textChecked"
"38","R_esQE78STXQhcPVX","freedom cooperation collaboration vote popular opinion        ","freedom cooperation collaboration vote popular opinion"
"39","R_6fGsUkZY94shvAp","wolves sheep voting dinner mob rule degeneration welfare public trough centralization  state high taxes dominated special interests war   secret band murderers thieves violation  natural law absurdity social contract    ","wolves sheep voting dinner mob rule degeneration welfare public trough centralization state high taxes dominated special interests war secret band murderers thieves violation natural law absurdity social contract"
"40","R_7V9MUzbbpUyQ53T","voting popular universal freedom political suffrage election republican tradition french revolution american revolution     ","voting popular universal freedom political suffrage election republican tradition french revolution american revolution"
"41","R_cAVArj6KPn12eOh","voting elections president checks balances laws rights constitution       ","voting elections president checks balances laws rights constitution"
"42","R_3DJljUtJCMMYOm9","voting freedom majority rules rights people rule        ","voting freedom majority rules rights peoplee rule"
"43","R_etclPrR4dxe1Dnv","freedom choice liberty pursuit happiness voting america president       ","freedom choice liberty pursuit happiness voting america president"
"44","R_ebAAgSP864u8U3b","sham fake misunderstood old idea good idea paper us  true democracy people mistake first world countries democracies       ","sham fake misunderstood old idea good idea paper us true democracy peoplee mistake first world countries democracies"
"45","R_3I7z8bE6TO1kfNX","unity together one friendly careful        ","unity together one friendly careful"
"46","R_3D9Gm0OGRh6a5Fj","voting elections politicians congress president america india china people us flag     ","voting elections politicians congress president america india china peoplee us flag"
"47","R_eQ01u5o1GcH2kfP","democrats replubicans conservative liberal clinton health care gun control       ","democrats republicans conservative liberal clinton health care gun control"
"48","R_3z7T2tkWDcu4jsN","athens greece usa freedom voting chaos corruption election government ballots     ","athens greece usa freedom voting chaos corruption election governmenternment ballots"
"49","R_e9YM9fkBZ4oXqF7","voting minority rights representation plurality checks balances one person one vote big money       ","voting minority rights representation plurality checks balances one person one vote big money"
"50","R_0VunF67OlFkrRwF","equality opportunity egalitarianism power  people people choosing government choice results society lack corruption corporate rule free fair elections     ","equality opportunity egalitarianism power peoplee peoplee choosing governmenternment choice results society lack corruption corporate rule free fair elections"
"51","R_8nXWuTfiyvHtpXL","freedom choice free speach voting elections representation fair just      ","freedom choice free speech voting elections representation fair just"
"52","R_4HeOPawabyxACWN","freedom liberty voting election society        ","freedom liberty voting election society"
"53","R_09womCBTjXlhFkx","freedom choice guns money g.washington abraham lincoln civil war murica fast food imigration curruption corn indians iphone microsoft enron lawyers potato chips f-86 sabre racism","freedom choice guns money g.washington abraham lincoln civil war America fast food immigration corruption corn indians iphone microsoft enron lawyers potato chips f-86 sabre racism"
"54","R_3dCagm4jSk9R6UR","freedom free speech right hold protest right vote right  education right choose whatever career want peace unity ideas community american     ","freedom free speech right hold protest right vote right education right choose whatever career want peace unity ideas community american"
"55","R_d3Y2epMIlq2FqRL","voting freedom rights people america fight quality       ","voting freedom rights peoplee america fight quality"
"56","R_cVebLscSDgSFyst","equality voting suffrage election day ballots politicians congress political parties      ","equality voting suffrage election day ballots politicians congress political parties"
"57","R_9ot2uuRvQbKFIR7","voting limited choices majority opinion persuasion politics political parties republicans democrats liberals conservatives equality      ","voting limited choices majority opinion persuasion politics political parties republicans democrats liberals conservatives equality"
"58","R_5BiR2p7Ff9cLEKp","taxes lies voting job pay unemployment        ","taxes lies voting job pay unemployment"
"59","R_8uZLn5C4WX8uTbf","elections representation accountability choice people enfranchisement diversity term limits rights equality     ","elections representation accountability choice peoplee enfranchisement diversity term limits rights equality"
"60","R_6X5QBXROewCTYd7","freedom justice liberty everybody  say peaceful progressive fair balanced united states pride worth fighting  people desire spread  internet    ","freedom justice liberty everybody say peaceful progressive fair balanced united states pride worth fighting peoplee desire spread internet"
"61","R_1O0e1dYSpkaw83b","freedom choice respect government mob rule legislation town hall representative senate presidency law rules    ","freedom choice respect governmenternment mob rule legislation town hall representative senate presidency law rules"
"62","R_9Hp3hhwrzFiyqrz","freedom justice independence equal voting rights choosing  vote happiness achievement closer utopia      ","freedom justice independencee equal voting rights choosing vote happiness achievement closer utopia"
"63","R_50aV2fe9kiqTDal","public voting freedom united people majority opportunity       ","public voting freedom united peoplee majority opportunity"
"64","R_eyWg6P7fFy2vMIR","freedom curse mystery wondeful creation        ","freedom curse mystery wonderful creation"
"65","R_29IU37aiqP9pskl","vote  people representation government freedom equality       ","vote peoplee representation governmenternment freedom equality"
"66","R_eWj55PA9PBxnsbP","freedom equality voting division power capitalism        ","freedom equality voting division power capitalism"
"67","R_5okFXdG8gdxK353","freedom choice right  independent life economic success justice  adequate minimum salaries chance succeed       ","freedom choice right independent life economic success justice adequate minimum salaries chance succeed"
"68","R_4UzCFEqC1yT9g7H","united nations politics president governer mayor senate amendments republican      ","united nations politics president governmenterner mayor senate amendments republican"
"69","R_bBDgTcdYv2FuBmZ","voting america freedom choice elections issues debates justice consttitution rights     ","voting america freedom choice elections issues debates justice constitution rights"
"70","R_8dBmAej5ZmJuRY9","working class  people welfare handouts clinton carter obama shady clickish political party     ","working class peoplee welfare handouts clinton carter obama shady cliquish political party"
"71","R_cRXirkIElh3E4BL","people choice slow arguing revolution white black rocks government voices vote      ","peoplee choice slow arguing revolution white black rocks governmenternment voices vote"
"72","R_afLuzGgdC7c90nr","sad interesting different controversial difficult        ","sad interesting different controversial difficult"
"73","R_5iq6PgGM4n5TDF3","usa fair equal treatment constitution freedom rights congress presidential elections       ","usa fair equal treatment constitution freedom rights congress presidential elections"
"74","R_cFGOrgCc3Kw4tsF","elections voting freedom people majority representative western modern justice leaders     ","elections voting freedom peoplee majority representative western modern justice leaders"
"75","R_5oS1NfLkcdI6Lzv","freedom choice voice prosperity power influence participation equality fariness justice     ","freedom choice voice prosperity power influence participation equality fairness justice"
"76","R_cU7v5dEfINIJIZn","majority freedom fairness people vote truth       ","majority freedom fairness peoplee vote truth"
"77","R_dpf2RqrSPObRNch","equality freedom justice america politics government       ","equality freedom justice america politics governmenternment"
"78","R_dbxk9hpCuozJn6J","government able vote bill clinton democrats people  right choose glad  monarchy       ","governmenternment able vote bill clinton democrats peoplee right choose glad monarchy"
"79","R_2tyNOaK9od0pJLn","vote freedom flawed politics groupthink abuse regulation nationalism      ","vote freedom flawed politics groupthink abuse regulation nationalism"
"80","R_0HCkWrMELhyhjEh","fair honest shared equal republic vote president representative representation tax election equality nation party system two republican democrat judicial legislative","fair honest shared equal republic vote president representative representation tax election equality nation party system two republican democrat judicial legislative"
"81","R_bxrszAvnHSWFI7b","freedom equality government laws rules liberial civil liberties       ","freedom equality governmenternment laws rules liberal civil liberties"
"82","R_0JVBNTO0vYzkuZT","choice freedom rights civilization society vote representation decision majority organization responsibility helping forming leading exemplary people unity disagreement unison complete ","choice freedom rights civilization society vote representation decision majority organization responsibility helping forming leading exemplary peoplee unity disagreement unison complete"
"83","R_eKI1Id9fWs35zxP","ability vote freedom choice political parties liberal vs. conservative general elections political campaigns candidates debating government president house representatives congress     ","ability vote freedom choice political parties liberal versus. conservative general elections political campaigns candidates debating governmenternment president house representatives congress"
"84","R_0DPvNwtBNRt8REh","liberty freedom pursuit happiness right free speach right bear arms right vote religous freedom right  opportunity everyone equal royalty     ","liberty freedom pursuit happiness right free speech right bear arms right vote religious freedom right opportunity everyone equal royalty"
"85","R_bBGKzcCPHbC3kEt","vote representation people three branches president house representatives congress senators bureaucracy       ","vote representation peoplee three branches president house representatives congress senators bureaucracy"
"86","R_eKwCVdf8zu9ooS1","vote majority fair america government justice       ","vote majority fair america governmenternment justice"
"87","R_7Pt2aQSn3PmgNnL","freedom voting politics choice government capitalism opportunity       ","freedom voting politics choice governmenternment capitalism opportunity"
"88","R_eDJlFws2yIMXIqx","voting choice rights elections freedom        ","voting choice rights elections freedom"
"89","R_brodigvrPfmfw21","elections freedom representation minority rights majority rule  voice government able select people represent ideas       ","elections freedom representation minority rights majority rule voice governmenternment able select peoplee represent ideas"
"90","R_2c9Y8xK0jDGvh65","freedom america vote election constitution rights       ","freedom america vote election constitution rights"
"91","R_2l6DpkpaJs0QUhD","freedom choice equality individualism respect opportunity tolerance diversity expression security     ","freedom choice equality individualism respect opportunity tolerance diversity expression security"
"92","R_brvs9RzoItx4ebj","freedom choice voting free market world leader america 2 party system fair just      ","freedom choice voting free market world leader america 2 party system fair just"
"93","R_8uHUhanqrgnoUZL","freedom choice fair elections representation  people fighting  rights land  free establishing freedoms otheres separation church state human rights free speach reaching equality    ","freedom choice fair elections representation peoplee fighting rights land free establishing freedoms others separation church state human rights free speech reaching equality"
"94","R_bj7NMJRS1AiEKAR","freedom choice rights transparency vote justice       ","freedom choice rights transparency vote justice"
"95","R_8pIfPi6xUOt4ZyB","freedom voting people government flawed        ","freedom voting peoplee governmenternment flawed"
"96","R_1MkbXVKVJO3yXfn","equality freedom free speech free elections equal chance success freedom religion equal chance success       ","equality freedom free speech free elections equal chance success freedom religion equal chance success"
"97","R_3OZfn8I4W48No3P","majority rules voting self government illusion choice republic better form government       ","majority rules voting self governmenternment illusion choice republic better form governmenternment"
"98","R_01HQBuNqqAGq71r","government voting  people beneficial strong structure freedom       ","governmenternment voting peoplee beneficial strong structure freedom"
"99","R_41mbDXPxzrnv7s9","freedom propserity equality advancement resourceful self expression rights       ","freedom prosperity equality advancement resourceful self expression rights"
"100","R_8kKtagpWHUD5Ti5","freedom social responsibilty public welfare equality justice protection fairness supportive community balanced society     ","freedom social responsibility public welfare equality justice protection fairness supportive community balanced society"
"101","R_6KKVfJqZk9HgfXL","freedom progress individualism overcoming hierarchy unfulfilled propaganda media bias       ","freedom progress individualism overcoming hierarchy unfulfilled propaganda media bias"
"102","R_0U62d1iTQpSlShT","voting citizens fair election ballot        ","voting citizens fair election ballot"
"103","R_3lKY4B0js17mDPL","america election vote united states obama electoral college       ","america election vote united states obama electoral college"
"104","R_82GgsYkRvGESTYh","freedom usa voting choice picking president nation politics       ","freedom usa voting choice picking president nation politics"
"105","R_cu1J4WiEka9T1Yx","voting representation equality freedom fairness        ","voting representation equality freedom fairness"
"106","R_9FgcQrGtuKnp5Cl","people president voting election politics campaign freedom money capitalism      ","peoplee president voting election politics campaign freedom money capitalism"
"107","R_2mELHsVHiOviSu9","freedom rights people vote majority representation       ","freedom rights peoplee vote majority representation"
"108","R_4UDgJJqAImQNGDP","freedom equality voting statue liberty expression opinions checks balances government  people citizen's rights justice elections usa    ","freedom equality voting statue liberty expression opinions checks balances governmenternment peoplee citizen's rights justice elections usa"
"109","R_8GNITjut2fyBOyF","freedom american president people vote equal       ","freedom american president peoplee vote equal"
"110","R_0cUHE8Dq81vNfbn","equality fairness america government voting parties partisanship congress representative voter ballot polls    ","equality fairness america governmenternment voting parties partisanship congress representative voter ballot polls"
"111","R_6saXRGODiCVupRH","freedom us equality voting majority rules republican democrats libertarians tea party green party obama ruining liberals conservatives flag proud  american countries admire government best government structure  world military protects ronald reagan george w bush","freedom us equality voting majority rules republican democrats libertarian tea party green party obama ruining liberals conservatives flag proud american countries admire governmenternment best governmenternment structure world military protects ronald reagan george w bush"
"112","R_71h9IjqU26BR92Z","fairness freedom money comfort ease liberty       ","fairness freedom money comfort ease liberty"
"113","R_6W3NkSR3hfQdotD"," people america voting ballots republicans vs democrats        ","peoplee america voting ballots republicans versus democrats"
"114","R_0wkfh2tdE5vfI0Z","polical choice vote inclusive decisive final modern progressive government voice     ","political choice vote inclusive decisive final modern progressive governmenternment voice"
"115","R_agDgtCSefdK4S2h","freedom guns money liberal drugs beer picnics broadcasting convention speech congress     ","freedom guns money liberal drugs beer picnics broadcasting convention speech congress"
"116","R_8IgmAPO4XmZkknP","vote freedom president congress legislative supreme court       ","vote freedom president congress legislative supreme court"
"117","R_cCJ12hu7rJRUZh3","freedom vote choice fair fair government free speech usa       ","freedom vote choice fair fair governmenternment free speech usa"
"118","R_a48YEv5KwI3ghV3","western countries people america voting freedom based royalty human rights equalness      ","western countries peoplee america voting freedom based royalty human rights equality"
"119","R_50laBOqpRmTGrE9","freedom free trade election responsibility justice achievment admiration equality rights education     ","freedom free trade election responsibility justice achievement admiration equality rights education"
"120","R_6ziGqHfTV1vxjqB","politics power elections officials vote veto overthrow equality people rules representatives rights corrupt institutions future system america  ","politics power elections officials vote veto overthrow equality peoplee rules representatives rights corrupt institutions future system america"
"121","R_3jXKjVjyojenixT","freedon government constitution capitalism voice choice       ","freedom governmenternment constitution capitalism voice choice"
"122","R_cPaAfftRJVpUmix","voting voices obama america washington thanksgiving       ","voting voices obama america washington thanksgiving"
"123","R_1OccFP57Scek5il","freedom usa voting free speech opportunity happiness elections       ","freedom usa voting free speech opportunity happiness elections"
"124","R_5dULYFIj4XOoVsp","social equality egalitarianism classlessness freedom government emancipation       ","social equality egalitarianism class freedom governmenternment emancipation"
"125","R_eyRUcAlhUYewqoJ","freedom politics elections people government        ","freedom politics elections peoplee governmenternment"
"126","R_0CEMyUgDULD16tv","representative aspiration freedom  people  people liberty government indirect direct athens voting citizenship rights 15th ammendment equality election republic legislation congress 3 branches government civil rights","representative aspiration freedom peoplee peoplee liberty governmenternment indirect direct athens voting citizenship rights 15th amendment equality election republic legislation congress 3 branches governmenternment civil rights"
"127","R_3WXTgGvqjeHrssR","freedom rights usa ancient rome president opinions       ","freedom rights usa ancient rome president opinions"
"128","R_dhGyOvwMJ8259kh","unfair narrow untrue political planned propaganda misleading debate false lie effect jurisdiction rumor politics government state us avoid committee","unfair narrow untrue political planned propaganda misleading debate false lie effect jurisdiction rumor politics governmenternment state us avoid committee"
"129","R_1BWwRz2nBu2G3L7","politics voting fairness human rights humanity        ","politics voting fairness human rights humanity"
"130","R_81Vx6CA3KbQiZVP","freedom united states home family sacrifice honor commitment loyalty patriotism      ","freedom united states home family sacrifice honor commitment loyalty patriotism"
"131","R_4OZ5FWecDo3Lrut","teamwork leadership ideas new concepts accomplishments        ","teamwork leadership ideas new concepts accomplishments"
"132","R_4Zn47sNig4au34h","recognition minorities diffusion power government  people equality voting free, fair, frequent elections important public decisions law policy public opinion different groups entitled compete elections       ","recognition minorities diffusion power governmenternment peoplee equality voting free, fair, frequent elections important public decisions law policy public opinion different groups entitled compete elections"
"133","R_6JVqTsWISAsx6yV","freedom justice equality fairness negotiations        ","freedom justice equality fairness negotiations"
"134","R_0kSehKLLoL3xv01","government dictatorship liberty socialism democrat politics republican communism united states monarchy     ","governmenternment dictatorship liberty socialism democrat politics republican communism united states monarchy"
"135","R_eS6LiKkegUyQC8Z","freedom equality laws government elections free speech free religion freedom get education freedom earn unlimited amount money      ","freedom equality laws governmenternment elections free speech free religion freedom get education freedom earn unlimited amount money"
"136","R_d6XGCjDbQV6RZxX","america freedom vote congress president judicial free markets constitution      ","america freedom vote congress president judicial free markets constitution"
"137","R_1M5yUbquuH32CLb","one togetherness people voting rights laws helping kindness president bills codes     ","one togetherness peoplee voting rights laws helping kindness president bills codes"
"138","R_1S08Ztk8hhYLwup","america freedom red white blue equality social mobility rights       ","america freedom red white blue equality social mobility rights"
"139","R_eG5TktoitPavuWV","equality voice elections leader constituency issues voting       ","equality voice elections leader constituency issues voting"
"140","R_1HomLmSNG7W8IgR","republic usa freedom greeks gave us democracy vote majority       ","republic usa freedom greeks gave us democracy vote majority"
"141","R_bHoBIOn7jcc35w9","attempt  fair easily corrupt hijacked bad  complacant american ideal western concept perfect, needs work       ","attempt fair easily corrupt hijacked bad complacent american ideal western concept perfect, needs work"
"142","R_enD9kQBa0K00RBX","corruption  freedom worthless dishonesty unruly        ","corruption freedom worthless dishonesty unruly"
"143","R_0CzRGOABNK7u4UB","united states people constitution voting fair peaceful reverent nation washington d.c. forefathers president senate congress    ","united states peoplee constitution voting fair peaceful reverent nation washington d.c. forefathers president senate congress"
"144","R_5vTMAITZoWqwy3z","politics voting voicing obama blue        ","politics voting voicing obama blue"
"145","R_cwgJsE4NjWM4LUp","freedom choice voting elections usa        ","freedom choice voting elections usa"
"146","R_bBMHjQOSkCGz5qt","democrats republicans independents politics voting america rights laws      ","democrats republicans independence politics voting america rights laws"
"147","R_9WUIR6sYrYGtGaV","votes legislature politics polls president ballot veto       ","votes legislature politics polls president ballot veto"
"148","R_0Pdnwi0xwdK9anj","freedom west greek voting ballot majority       ","freedom west greek voting ballot majority"
"149","R_ebzgFvgx8Wen4UZ","strong weak simple complex necessary voting choices decisions mean kind fair unfair interesting old new power society government lasting problems","strong weak simple complex necessary voting choices decisions mean kind fair unfair interesting old new power society governmenternment lasting problems"
"150","R_0Td0RLya54tb4RD","freedom speech freedom buy products/consume vote elections separation church state elect leaders represent us equal representation based populus living capitalism working hard      ","freedom speech freedom buy products/consume vote elections separation church state elect leaders represent us equal representation based populous living capitalism working hard"
"151","R_cMbk4KFISHIW8kZ","equality liberty voting representation justice accountability       ","equality liberty voting representation justice accountability"
"152","R_cMiNBvSgpMTxB8p","voting separation power peaceful corrupt fairness representative       ","voting separation power peaceful corrupt fairness representative"
"153","R_0VubZSf90Mjgsnj","equal voting rights freedom group connected team       ","equal voting rights freedom group connected team"
"154","R_5thobQ39knos2gt","expensive campaigns money related scandals special interests public voice voting        ","expensive campaigns money related scandals special interests public voice voting"
"155","R_3WxuQScQ0IpgVo1","freedom government  people representation voting elections level playing field majority rule oversight ballots working together collaboration mutual benefits    ","freedom governmenternment peoplee representation voting elections level playing field majority rule oversight ballots working together collaboration mutual benefits"
"156","R_4IrYSgMYI4tRQZ7","majority freedom fair inclusive open representative election politics government meritocracy     ","majority freedom fair inclusive open representative election politics governmenternment meritocracy"
"157","R_87Yr1sTYgyVlOEB","broken system people charge government  people freedom citizens rights        ","broken system peoplee charge governmenternment peoplee freedom citizens rights"
"158","R_1TjwPFeRD7wJHvv","government politics voting direct democratic republic        ","governmenternment politics voting direct democratic republic"
"159","R_1SoTZUFKPhFza8l","freedom equality liberty justice concensus vote election       ","freedom equality liberty justice concensus vote election"
"160","R_6KKRyCo01SvNEnH","freedom united states politics liberties ownership americans big business super power united      ","freedom united states politics liberties ownership americans big business super power united"
"161","R_0CDvaHHGUmP1URD","freedom election representatives voting senate government  people,  people independence electoral college senate house representatives washington dc capitol american flag   ","freedom election representatives voting senate governmenternment peoplee, peoplee independencee electoral college senate house representatives washington dc capitol american flag"
"162","R_b7WG3UGLjTEuNeJ","equality freedom voice matters system government rules chance make difference       ","equality freedom voice matters system governmenternment rules chance make difference"
"163","R_0Sw3QCm3wTUwnUV","freedom justice fairness people voting government equality right      ","freedom justice fairness peoplee voting governmenternment equality right"
"164","R_6tnyUUeP23IAYgR","fair prosperous anti-corporatist equal opportunity civil rights american dream anyone can suceed monopolies illegal voting rights opportunity justice fair laws protect people surveillance state  tolerated respect continued job growth   ","fair prosperous anti-corporatist equal opportunity civil rights american dream anyone can succeed monopolies illegal voting rights opportunity justice fair laws protect peoplee surveillance state tolerated respect continued job growth"
"165","R_9zOmPZY0sSMpVNb","freedom choice group thought responsibility security safety       ","freedom choice group thought responsibility security safety"
"166","R_0qBTwOWEd7HnVxb","gridlock gerrymandering need parliamentary system political action committees citizens united vs. federal election commission voter .d. voter suppression need term limits  bother voting need mandatory voting worst system except  others     ","gridlock gerrymandering need parliamentary system political action committees citizens united versus. federal election commission voter .d. voter suppression need term limits bother voting need mandatory voting worst system except others"
"167","R_ey4Wh1st57NOqmF","freedom voting everybody  say majority rules empowerment elections       ","freedom voting everybody say majority rules empowerment elections"
"168","R_3F4uANXt3hgmW3P","freedom happiness fair pleasant wonderful        ","freedom happiness fair pleasant wonderful"
"169","R_0lfPs98cHfJbz5H","choice freedom voice, say  system open mindedness debate civility equality  people  people      ","choice freedom voice, say system open mindedness debate civility equality peoplee peoplee"
"170","R_88q5pDIwbv3i4zX","voting booth stickers wars polls congress united states communism      ","voting booth stickers wars polls congress united states communism"
"171","R_3V0ueco4zqjSGeV","people choice vote risky politics lobbying popular       ","peoplee choice vote risky politics lobbying popular"
"172","R_blpTImqLM4PiZzT","rights voting representation equality government senate house representatives constitution founding fathers pledge allegiance     ","rights voting representation equality governmenternment senate house representatives constitution founding fathers pledge allegiance"
"173","R_cvuUUfAz7ap09Dv","change freedom obama hope truth people live choice      ","change freedom obama hope truth peoplee live choice"
"174","R_cYoIIsDTsU03Jtz","freedom voting usa capitalism religious freedom opportunity liberty persuit happiness      ","freedom voting usa capitalism religious freedom opportunity liberty pursuit happiness"
"175","R_eQhsiDwGaOPsLVH","voting liberty freedom concensus representation government grassroots politics gerrymandering      ","voting liberty freedom concensus representation governmenternment grassroots politics gerrymandering"
"176","R_9NdB2QkO1s7QTIN","governement laws constitution presidents america courts senate       ","governmenternement laws constitution presidents america courts senate"
"177","R_db904nKba2pG1SJ","freedom justice balance fairness captialism equality integrity       ","freedom justice balance fairness capitalism equality integrity"
"178","R_2t151n8hpn8Svxr","freedom speech freedom press freedom vote equal rights discrimination government  people       ","freedom speech freedom press freedom vote equal rights discrimination governmenternment peoplee"
"179","R_07oCUsR0687xLUh","voting representation majority campaigns advertisements athens west america elections propositions lobbying     ","voting representation majority campaigns advertisements athens west america elections propositions lobbying"
"180","R_bfQBzbLK2DsOf9b","freedom choice equality happiness independence america       ","freedom choice equality happiness independencee america"
"181","R_6nulqdXTM1HzcJT","voting representation freedom politics will  people        ","voting representation freedom politics will peoplee"
"182","R_02M0viwNfanWjGJ","rights choices views fair good freedom       ","rights choices views fair good freedom"
"183","R_1R06M2zTKpTEGY5","government citizens voting rights politics power people freedom equality community social respect unity democratic constitution justice laws institution minorities majorities","governmenternment citizens voting rights politics power peoplee freedom equality community social respect unity democratic constitution justice laws institution minorities majorities"
"184","R_ewE8jVq3DVew9tr","freedom choices elections voting representives government ruled  people people  say many people involved decisions      ","freedom choices elections voting representatives governmenternment ruled peoplee peoplee say many peoplee involved decisions"
"185","R_cU60UQz13VWDIcB","republic freedom power  people democrats republicans america government representative majority equal     ","republic freedom power peoplee democrats republicans america governmenternment representative majority equal"
"186","R_4JlxcxdDBSFqOrP","voting government athens congress senate popular vote freedom politics power  people representation     ","voting governmenternment athens congress senate popular vote freedom politics power peoplee representation"
"187","R_6KBpoP8OAkRVzUx","liberating freedom human civil rights  people close perfect best can get functional essential universal everyone     ","liberating freedom human civil rights peoplee close perfect best can get functional essential universal everyone"
"188","R_bCNaVTcdjW4d25L","freedom voting equality human rights privilege        ","freedom voting equality human rights privilege"
"189","R_50EkBC67FSUCwPr","freedom together republic liberty justice reasonable communicative access demonstrate commerce council city arrow ethnic racy   ","freedom together republic liberty justice reasonable communicative access demonstrate commerce council city arrow ethnic racy"
"190","R_6tECLOJUl6PCs5v","freedom choice government voting elections involvement america europe western      ","freedom choice governmenternment voting elections involvement america europe western"
"191","R_etIfUVWz2YGo5IF","government equal people sucess freedom liberty power majority votes vision vpoices rghts fair    ","governmenternment equal peoplee success freedom liberty power majority votes vision voices rights fair"
"192","R_e4fqaT3MK4ABkIR","one person one vote fair representative slow  rut since ancient greece dissapointing       ","one person one vote fair representative slow rut since ancient greece disappointing"
"193","R_1M6dyvlt7tXLnNP","choice freedom equality rights liberty        ","choice freedom equality rights liberty"
"194","R_d6xvLwIHpYXnICF","system voting majority minority equality people rule       ","system voting majority minority equality peoplee rule"
"195","R_0xjMJBsX7IL2oCh","stupid doesnt work easily manipulated voting usa worthless 2 party system pointless        ","stupid doesn't work easily manipulated voting usa worthless 2 party system pointless"
"196","R_4N7CDlaIwuaGQIZ","freedom elections citizens  power free speech choice fair rights       ","freedom elections citizens power free speech choice fair rights"
"197","R_eJ17QUAJH9Lvrw1","everyone equally repped goverment. fair gov people power elites fairness.        ","everyone equally repped governmenterment. fair government peoplee power elites fairness."
"198","R_3qPZ0mxUVxoW2Pj","goverment electoral system rights  people dishonest choices symbolic corrupt      ","governmenterment electoral system rights peoplee dishonest choices symbolic corrupt"
"199","R_eV4TPXgJAah66JD","judgement based togetherness patronism jurious        ","judgement based togetherness patronage judicious"
